ZZXP;AGR;ARC;AGRDESC;AGRDESCen;DESC;DESCen;PR1;Q1;PR2;Q2;PR3;Q3;PR4;Q4;PR5;Q5
2012;U8347;IXFN520N075T2;Littelfuse Leistungs-MOSFETs IXFN_, IXTN;Littelfuse Power MOSFETs IXFN_, IXTN_ SO;N-Ch 75V 480A 940W 0,0019R SOT227B;N-Ch 75V 480A 940W 0,0019R SOT227B;22,12;1;18,72;5;17,01;10;16,38;25;15,75;50
2013;U8347;IXTN90N25L2;Littelfuse Leistungs-MOSFETs IXFN_, IXTN;Littelfuse Power MOSFETs IXFN_, IXTN_ SO;N-Ch 250V 90A 735W 0,033R SOT227B;N-Ch 250V 90A 735W 0,033R SOT227B;33,21;1;28,09;5;25,54;10;24,59;25;23,64;50
2014;B1645;IX21844N;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;Half-Brdg-Dr. 600V SO14;Half-Brdg-Dr. 600V SO14;1,74;5;1,38;25;1,2;100;1,15;200;1,11;500
2015;B1645;IXDD609SI;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;MOSFET-Dr. HS 35V 9A SO8;MOSFET-Dr. HS 35V 9A SO8;1,83;5;1,45;25;1,26;100;1,22;200;1,17;500
2016;B1645;IXDD609SIA;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;MOSFET-Dr. HS 35V 9A SO8;MOSFET-Dr. HS 35V 9A SO8;1,16;5;0,92;25;0,8;100;0,77;200;0,74;500
2017;B1645;IXDN630YI;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;MOSFET-Dr. HS 35V 30A D²Pak-5;MOSFET-Dr. HS 35V 30A D²Pak-5;6,97;5;5,53;25;4,81;100;4,63;200;4,45;500
2018;M7912;2789-9080PRO2;WAGO Serie Pro2 2787 /2789 Stromversorgu;WAGO Series Pro2 2787/ 2789 Power Supply;Kommunikationsmodul für Pro2 IO-Link;"Communication module for Pro2; IO-Link";68,71;1;51,52;5;42,95;10;40,65;25;38,32;50
2019;M7912;2787-2144PRO2;WAGO Serie Pro2 2787 /2789 Stromversorgu;WAGO Series Pro2 2787/ 2789 Power Supply;Netzgerät Pro2 24V 5A;Power supply Pro2 24V 5A;255,46;1;191,56;5;159,68;10;151,14;25;142,47;50
2020;M7912;2787-2147PRO2;WAGO Serie Pro2 2787 /2789 Stromversorgu;WAGO Series Pro2 2787/ 2789 Power Supply;Netzgerät Pro2 24V 20A;Power supply Pro2 24V 20A;502,11;1;376,52;5;313,85;10;297,07;25;280,03;50
2021;M7912;2787-2448PRO2;WAGO Serie Pro2 2787 /2789 Stromversorgu;WAGO Series Pro2 2787/ 2789 Power Supply;Netzgerät Pro2 24V 40A;Power supply Pro2 24V 40A;669,48;1;502,03;5;418,47;10;396,1;25;373,37;50
2022;E4412;DIP051A7213D;MEDER DIP/DIL-Reedrelais Serie: DIP 13L,;MEDER DIP/DIL-Reedrelay Series DIP 13L,;DIP/DIL-Reedrelais 1xNO 5V 500R Diode;DIP/DIL Reed Relay SPST 5V 500R Diode;2,55;25;2,04;100;1,7;200;1,65;500;1,6;1000
2023;E4419;DIP241C9051D;DIP-Reedrelais mit Diode 1xU;DIP Reed Relays with Diode SPDT;DIP/DIL-Reedrelais 1xU 24V 2000R Diode;DIP/DIL Reed Relay SPST 24V 2000R Diode;6,31;10;5,05;50;4,21;100;4,09;200;3,97;500
2024;E4211;MK02/0-1A66-500W;Reed-Sensoren;Reed Sensors;Reedsensor 1xNO 0,5A 10W Kabel;Reed Sensor SPST 0,5A 10W Cable;14,14;10;11,31;50;9,43;100;9,16;200;8,89;500
2025;E4211;MK4-1C90C-500W;Reed-Sensoren;Reed Sensors;Reedsensor 1xU 0,5A 10W 15-20AT Kabel;Reed Sensor SPDT 0,5A 10W 15-20AT Cable;6,97;10;5,57;50;4,65;100;4,51;200;4,38;500
2026;E4111;KSK1C90F-1015;Reed-Kontakte, Schließer/Umschalter;Reed Contacts;Reedkontakt 1xU 0,5A 10W 10-15AT;Reed Contact SPDT 0,5A 10W 10-15AT;2,73;10;2,19;50;1,82;100;1,77;500;1,72;1000
2027;E4111;KSK1C90F-1520;Reed-Kontakte, Schließer/Umschalter;Reed Contacts;Reedkontakt 1xU 0,5A 10W 15-20AT;Reed Contact SPDT 0,5A 10W 15-20AT;2,73;10;2,19;50;1,82;100;1,77;500;1,72;1000
2028;E4211;MK01-B;Reed-Sensoren;Reed Sensors;Reedsensor 1xNO 0,5A 10W 10-15AT;Reed Sensor SPST 0,5A 1W PC 15-20AT;2,17;10;1,73;50;1,45;100;1,4;200;1,36;500
2029;E4211;MK06-5-B;Reed-Sensoren;Reed Sensors;Reedsensor 1xNO 0,5A 1W 10-15AT PC;Reed Sensor SPST 0,5A 1W 10-15AT PC;1,79;10;1,43;50;1,19;100;1,16;200;1,13;500
2030;E4211;MK06-10-E;Reed-Sensoren;Reed Sensors;Reedsensor 1xNO 0,5A 1W 25-30AT PC;Reed Sensor SPST 0,5A 1W 25-30AT PC;5,64;10;4,51;50;3,76;100;3,65;200;3,55;500
2031;E4211;MK111B;Reed-Sensoren;Reed Sensors;Reedsensor 1xNO 0,5A 10W 10-15AT Kabel;Reed Sensor SPST 0,5A 10W 10-15AT Cable;6,64;10;5,31;50;4,43;100;4,3;200;4,18;500
2032;E4211;MK11-1A66C-500W;Reed-Sensoren;Reed Sensors;Reedsensor 1xNO 0,5A 10W 15-20AT Kabel;Reed Sensor SPST 0,5A 10W 15-20AT Cable;6,64;10;5,31;50;4,43;100;4,3;200;4,18;500
2033;E4218;MK23-66-D-2;SMD-Reedsensoren Serie MK23;SMD Reed Sensors Series MK23;SMD-Reedsensor 1xNO 0,5A 10W 20-25AT;SMD Reed Sensor SPST 0,5A 10W 20-25AT;1,2;10;0,96;50;0,8;100;0,78;500;0,76;1000
2034;E4218;MK23-85-C-2;SMD-Reedsensoren Serie MK23;SMD Reed Sensors Series MK23;SMD-Reedsensor 1xNO 1A 100W 15-20AT;SMD Reed Sensor SPST 1A 100W 15-20AT;2,1;10;1,68;50;1,4;100;1,36;500;1,32;1000
2035;E4219;MK24-A-1;SMD-Reedsensoren Serie MK24;SMD Reed Sensors Series MK24;SMD-Reedsensor 1xNO 0,1A 1W 05-10AT;SMD Reed Sensor SPST 0,1A 1W 10-15AT;3,47;10;2,78;50;2,32;100;2,25;500;2,19;1000
2036;E4219;MK24-B-2;SMD-Reedsensoren Serie MK24;SMD Reed Sensors Series MK24;SMD-Reedsensor 1xNO 0,3A 3W 10-15AT;SMD Reed Sensor SPST 0,3A 3W 10-15AT;2,24;10;1,79;50;1,49;100;1,45;500;1,41;1000
2037;E4218;MK23-35-D-2;SMD-Reedsensoren Serie MK23;SMD Reed Sensors Series MK23;SMD-Reedsensor 1xNO 1A 20W 20-25AT;SMD Reed Sensor SPST 1A 20W 20-25AT;0,62;10;0,5;50;0,41;100;0,4;500;0,39;1000
2038;U6795;MMBFJ176;ONS SMD-Kleinleistungs-JFETs MMBF_ SOT23;ONS SMD Small Signal JFETs MMBF_ SOT23;P-JFET -30V -2- -25mA 0,225W SOT23;P-JFET -30V -2- -25mA 0,225W SOT23;8,99;100;7,13;500;6,2;3000;5,91;6000;5,63;12000
2039;L4038;CEN-60-42;MeanWell CEN-60 IP66 Alu-SNT;MeanWell CEN-60 IP66 Alu-SPS;SNT IP66 61W 42V/1,45A CV+CC;SPS IP66 61W 42V/1,45A CV+CC;31,61;1;30,84;5;29,73;10;28,84;20;28,4;50
2040;L4108;CEN-100-48;MeanWell CEN-100 IP66 Alu-SNT;MeanWell CEN-100 IP66 Alu-SPS;SNT IP66 96W 48V/2A CV+CC;SPS IP66 96W 48V/2A CV+CC;35,66;1;34,79;5;33,53;10;32,53;20;32,03;50
2041;U8739;IRFS3107PBF-GURT;INFI SMD-Leistungs-MOSFETs gegurtet IRF_;INFI SMD Power MOSFETs taped IRF_S_, IRF;N-Ch 75V 195A 370W 0,003R D²Pak;N-Ch 75V 195A 370W 0,003R D²Pak;261,31;10;196,05;50;163,36;200;157,28;500;151,2;1000
2042;V4379;TZMC20;Vishay SMD-Z-Dioden 0,5W TZMC_ Minimelf;Vishay SMD Z-Diodes 0,5W TZMC_ Minimelf;SMD-Z-Diode 0,5W 20V Minimelf;SMD Z-Diode 0,5W 20V Minimelf;1,51;500;1,13;2500;0,94;7500;0,88;15000;0,83;30000
2043;V4379;TZMC6V8;Vishay SMD-Z-Dioden 0,5W TZMC_ Minimelf;Vishay SMD Z-Diodes 0,5W TZMC_ Minimelf;SMD-Z-Diode 0,5W 6,8V Minimelf;SMD Z-Diode 0,5W 6,8V Minimelf;1,53;500;1,15;2500;0,95;7500;0,9;15000;0,84;30000
2044;C6760;6SVPS470M;Os-Con Serie SVPS;Os-Con Series SVPS;OS-CON SVPS 470uF 6,3V 10x8mm;OS-CON SVPS 470uF 6,3V 10x8mm;72,3;25;61,16;100;55,64;500;53,09;1000;50,54;5000
2045;U8342;IXFH150N17T2;Littelfuse Leistungs-MOSFETs IXFH_, IXTH;Littelfuse Power MOSFETs IXFH_, IXTH_ TO;N-Ch 175V 150A 880W 0,012R TO247AD;N-Ch 175V 150A 880W 0,012R TO247AD;8,3;1;5,3;5;4,3;30;4,14;60;3,98;120
2046;F9101;2606-1106/020-000;Leiterplattenverbinder Serie 2626/2606;Board Connector Series 2626/2606;AR-Klemmen abgewinkelt 6pol Hebel;Terminal Block Angeled 6-Pole Lever;8,51;5;6,38;25;5,32;50;4,99;100;4,66;250
2047;F9101;2606-1108/020-000;Leiterplattenverbinder Serie 2626/2606;Board Connector Series 2626/2606;AR-Klemmen abgewinkelt 8pol Hebel;Terminal Block Angeled 8-Pole Lever;11,34;5;8,51;25;7,09;50;6,65;100;6,22;250
2048;F9101;2606-1110/020-000;Leiterplattenverbinder Serie 2626/2606;Board Connector Series 2626/2606;AR-Klemmen abgewinkelt 10pol Hebel;Terminal Block Angeled 10-Pole Lever;14,16;5;10,62;25;8,85;50;8,3;100;7,76;250
2049;F9101;2606-3108/020-000;Leiterplattenverbinder Serie 2626/2606;Board Connector Series 2626/2606;AR-Klemmen gerade 8pol Hebel;Terminal Block Straight 8-Pole Lever;11,34;5;8,51;25;7,09;50;6,65;100;6,22;250
2050;F9101;2606-3110/020-000;Leiterplattenverbinder Serie 2626/2606;Board Connector Series 2626/2606;AR-Klemmen gerade 10pol Hebel;Terminal Block Straight 10-Pole Lever;14,16;5;10,62;25;8,85;50;8,3;100;7,76;250
2051;F9101;2626-3106/020-000;Leiterplattenverbinder Serie 2626/2606;Board Connector Series 2626/2606;AR-Klemmen gerade 6pol;Terminal Block Straight 6-Pole;7,73;5;5,8;25;4,83;50;4,54;100;4,24;250
2052;F9101;2626-3108/020-000;Leiterplattenverbinder Serie 2626/2606;Board Connector Series 2626/2606;AR-Klemmen gerade 8pol;Terminal Block Straight 8-Pole;10,29;5;7,72;25;6,43;50;6,04;100;5,64;250
2053;F9101;2626-3110/020-000;Leiterplattenverbinder Serie 2626/2606;Board Connector Series 2626/2606;AR-Klemmen gerade 10pol;Terminal Block Straight 10-Pole;12,87;5;9,65;25;8,04;50;7,55;100;7,05;250
2054;F9120;2604-1110;Leiterplattenverbinder Serie 2624/2604;Board Connector Series 2624/2604;AR-Klemmen abgewinkelt 10pol Hebel;Terminal Block Angeled 10-Pole Lever;7,48;5;5,61;25;4,67;50;4,38;100;4,1;250
2055;C6756;16SVP180MX;Os-Con Serie SVP;Os-Con Series SVP;OS-CON SVP 180uF 16V 10x8mm;OS-CON SVP 180uF 16V 10x8mm;36,26;25;30,68;100;27,91;500;26,63;1000;25,35;5000
2056;F9120;2604-3110;Leiterplattenverbinder Serie 2624/2604;Board Connector Series 2624/2604;AR-Klemmen gerade 10pol Hebel;Terminal Block Straight 10-Pole Lever;7,69;5;5,77;25;4,81;50;4,51;100;4,22;250
2057;F9120;2624-1110;Leiterplattenverbinder Serie 2624/2604;Board Connector Series 2624/2604;AR-Klemmen abgewinkelt 10pol;Terminal Block Angeled 10-Pole;7,71;5;5,78;25;4,82;50;4,52;100;4,23;250
2058;F9120;2624-3108;Leiterplattenverbinder Serie 2624/2604;Board Connector Series 2624/2604;AR-Klemmen gerade 8pol;Terminal Block Straight 8-Pole;4,98;5;3,73;25;3,11;50;2,92;100;2,73;250
2059;F9120;2624-3110;Leiterplattenverbinder Serie 2624/2604;Board Connector Series 2624/2604;AR-Klemmen gerade 10pol;Terminal Block Straight 10-Pole;6,23;5;4,67;25;3,89;50;3,65;100;3,41;250
2060;F9211;2065-100/998-403;Serie 2059_60_61 SMD Leiterplattenklemme;Series 2059_60_61 Board Connector;SMD-AR-Klemmen 6,5mm 320V 1pol Hebel;SMD Terminal Bl. 6,5mm 320V 1-Pole Lever;0,34;10;0,25;50;0,21;200;0,2;500;0,18;1000
2061;F9211;2065-101/998-403;Serie 2059_60_61 SMD Leiterplattenklemme;Series 2059_60_61 Board Connector;SMD-AR-Klemmen 6mm 320V 1pol;SMD Terminal Block 6mm 320V 1-Pole;0,34;10;0,25;50;0,21;200;0,2;500;0,18;1000
2062;F9211;2065-189;Serie 2059_60_61 SMD Leiterplattenklemme;Series 2059_60_61 Board Connector;Betätigungswerkzeug für Serie 2065;Actuation Tool for Series 2065;1,01;10;0,76;50;0,63;200;0,59;500;0,55;1000
2063;F9811;221-502;Verbindungsklemme Serie 221;Compact Splicing Connectors Series 222;COMPACT Adapter 2-Leiter-Klemme;COMPACT Adapter 2-Conductor Connector;0,75;5;0,57;25;0,47;50;0,44;100;0,41;250
2064;M7922;MT47264;Myrra AC/DC Wandler Module 4700;Myrra AC/DC Converter Modules 4700;Myrra SNT Modul 15V 4000mA;Myrra SPS Modul 15V 4000mA;23,48;1;17,61;5;14,68;20;13,89;50;13,09;100
2065;M5274;HNP18-150L6;HN-Power HNP18 Stecker-SNT 18W;HNP18 Plug-In SPS 18W;Stecker-SNT 18W 15V/1,2A DOE VI;SPS Plug-in 18W 15V/1,2A DOE VI;9,07;1;7,67;5;6,97;20;6,65;50;6,33;100
2066;C5471;C1608X5R224KETS;SMD-Keramik-Vielschicht-Ko's Y5V, X5R 06;SMD Ceramic Multilayer Capacitors Y5V, X;SMD-Vs-Kond 220nF 16V 10% X5R 0603;SMD MLC Capac.220nF 16V 10% X5R 0603;1,17;500;0,88;4000;0,73;8000;0,67;16000;0,61;40000
2067;C5471;C1608X5R474KETS;SMD-Keramik-Vielschicht-Ko's Y5V, X5R 06;SMD Ceramic Multilayer Capacitors Y5V, X;SMD-Vs-Kond 470nF 16V 10% X5R 0603;SMD MLC Capac.470nF 16V 10% X5R 0603;1,56;500;1,17;4000;0,98;8000;0,9;16000;0,81;40000
2068;D9035;Q13FC13500049;Epson Uhrenquarze;Epson Clock Crystals;SMD-Uhrenquarz 32,768kHz 6pF 20ppm;SMD Clock Crystal 32,768kHz 6pF 20ppm;41,25;10;29,46;50;23,57;200;22,12;500;20,68;1000
2069;V7597;TS50P05G;TSC Brückengleichrichter 50A TS50P_G In-;TSC Bridge Rectifiers 50A TS50P_G In-Lin;Flachbrücke 50A 420V(RMS) 7,5/10mm;Bridge Rect. 50A 420V(RMS) 7,5/10mm;145,45;15;109,1;75;90,93;300;85,31;600;79,75;1200
2070;D9035;X1A0001210005;Epson Uhrenquarze;Epson Clock Crystals;SMD-Uhrenquarz 32,768kHz 12,5pF 20ppm;SMD Clock Crystal 32,768kHz 12,5pF 20ppm;105,31;10;75,22;50;60,18;200;56,48;500;52,79;1000
2071;D9035;X1A0001210006;Epson Uhrenquarze;Epson Clock Crystals;SMD-Uhrenquarz 32,768kHz 9pF 20ppm;SMD Clock Crystal 32,768kHz 9pF 20ppm;105,31;10;75,22;50;60,18;200;56,48;500;52,79;1000
2072;D9125;Q22FA1280037412;Epson MHz Quarze 128;Epson MHz Crystals 128;SMD-Quarz 27,12MHz 6pF 15ppm FTC 15ppm;SMD Crystal 27,12MHz 6pF 15ppm FTC 15ppm;178,99;10;127,85;50;102,28;200;96,01;500;89,73;1000
2073;D9125;Q22FA12800463;Epson MHz Quarze 128;Epson MHz Crystals 128;SMD-Quarz 24MHz 7pF 10ppm FTC 15ppm;SMD Crystal 24MHz 7pF 10ppm FTC 15ppm;58,18;10;41,55;50;33,24;200;31,2;500;29,17;1000
2074;D9125;Q22FA1280052612;Epson MHz Quarze 128;Epson MHz Crystals 128;SMD-Quarz 24MHz 8,5pF 9ppm FTC 9ppm;SMD Crystal 24MHz 8,5pF 9ppm FTC 9ppm;178,99;10;127,85;50;102,28;200;96,01;500;89,73;1000
2075;D9125;Q22FA1280060212;Epson MHz Quarze 128;Epson MHz Crystals 128;SMD-Quarz 25MHz 10pF 10ppm FTC 20ppm;SMD Crystal 25MHz 10pF 10ppm FTC 20ppm;178,99;10;127,85;50;102,28;200;96,01;500;89,73;1000
2076;D9125;Q22FA12800256;Epson MHz Quarze 128;Epson MHz Crystals 128;SMD-Quarz 38,4MHz 7pF 10ppm FTC 10ppm;SMD Crystal 38,4MHz 7pF 10ppm FTC 10ppm;202,34;10;144,53;50;115,62;200;108,53;500;101,44;1000
2077;D9126;Q22FA23V0052912;Epson MHz Quarze 238;Epson MHz Crystals 238;SMD-Quarz 12MHz 20ppm;SMD Quartz Crystal 12MHz 20ppm;178,99;10;127,85;50;102,28;200;96,01;500;89,73;1000
2078;D9530;X1G005421020312;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 19,2MHz;SMD Crystal Oscillator 19,2MHz;0,97;5;0,69;25;0,55;50;0,52;100;0,49;250
2079;D9530;X1G005421020412;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 26MHz;SMD Crystal Oscillator 26MHz;0,97;5;0,69;25;0,55;50;0,52;100;0,49;250
2080;D9530;X1G005421020612;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 38,4MHz;SMD Crystal Oscillator 38,4MHz;0,97;5;0,69;25;0,55;50;0,52;100;0,49;250
2081;D9530;X1G005421030312;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 19,2MHz;SMD Crystal Oscillator 19,2MHz;0,97;5;0,69;25;0,55;50;0,52;100;0,49;250
2082;D9530;X1G005421030412;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 26MHz;SMD Crystal Oscillator 26MHz;0,97;5;0,69;25;0,55;50;0,52;100;0,49;250
2083;D9544;X1G0041710019;EPSON Oszillatoren SG210;EPSON Oscillators Series SG210;SMD-Quarzoszillator 12,288MHz;SMD Crystal Oscillator 12,288MHz;122,46;5;87,47;25;69,98;50;65,68;100;61,39;250
2084;D9544;X1G0041710025;EPSON Oszillatoren SG210;EPSON Oscillators Series SG210;SMD-Quarzoszillator 14,7456MHz;SMD Crystal Oscillator 14,7456MHz;122,46;5;87,47;25;69,98;50;65,68;100;61,39;250
2085;D9530;X1G005421030612;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 38,4MHz;SMD Crystal Oscillator 38,4MHz;97,64;5;69,75;25;55,8;50;52,37;100;48,95;250
2086;D9530;X1G005441020312;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 19,2MHz;SMD Crystal Oscillator 19,2MHz;100,82;5;72,02;25;57,61;50;54,08;100;50,54;250
2087;D9530;X1G005441020412;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 26MHz;SMD Crystal Oscillator 26MHz;100,82;5;72,02;25;57,61;50;54,08;100;50,54;250
2088;D9530;X1G005441030312;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 19,2MHz;SMD Crystal Oscillator 19,2MHz;100,82;5;72,02;25;57,61;50;54,08;100;50,54;250
2089;D9530;X1G005441030612;EPSON SMD-Quarzoszillator Serie TG2016 u;EPSON SMD Crystal Oscillators Series TG2;SMD-Quarzoszillator 38,4MHz;SMD Crystal Oscillator 38,4MHz;100,82;5;72,02;25;57,61;50;54,08;100;50,54;250
2090;D9544;X1G0041710032;EPSON Oszillatoren SG210;EPSON Oscillators Series SG210;SMD-Quarzoszillator 24,576MHz;SMD Crystal Oscillator 24,576MHz;108,33;5;77,38;25;61,9;50;58,1;100;54,31;250
2091;D9544;X1G0041710080;EPSON Oszillatoren SG210;EPSON Oscillators Series SG210;SMD-Quarzoszillator 66,6667MHz;SMD Crystal Oscillator 66,6667MHz;122,46;5;87,47;25;69,98;50;65,68;100;61,39;250
2092;D9544;X1G0041710114;EPSON Oszillatoren SG210;EPSON Oscillators Series SG210;SMD-Quarzoszillator 19,44MHz;SMD Crystal Oscillator 19,44MHz;122,46;5;87,47;25;69,98;50;65,68;100;61,39;250
2093;U8347;IXFN80N50P;Littelfuse Leistungs-MOSFETs IXFN_, IXTN;Littelfuse Power MOSFETs IXFN_, IXTN_ SO;N-Ch 500V 66A 700W 0,065R SOT227B;N-Ch 500V 66A 700W 0,065R SOT227B;20,71;1;17,52;5;15,93;10;15,34;25;14,74;50
2094;C6756;16SVP100M;Os-Con Serie SVP;Os-Con Series SVP;OS-CON SVP 100uF 16V 10x8mm;OS-CON SVP 100uF 16V 10x8mm;72,43;25;61,27;100;55,74;500;53,19;1000;50,64;5000
2095;W2775;LAT67F-U2AB-24;OSRAM SMD-Leuchtdioden klar ultrahell Re;OSRAM SMD Light-Emitting Diodes water-cl;SMD-LED Refl amber 560-1800mcd 120° PLCC;SMD-LED Refl Amber 560-1800mcd 120° PLCC;8,05;100;5,05;500;4,05;2000;3,85;6000;3,65;10000
2096;W2775;LOT67F-V1AB-24;OSRAM SMD-Leuchtdioden klar ultrahell Re;OSRAM SMD Light-Emitting Diodes water-cl;SMD-LED Refl orange 718-1800mcd 120° PLC;SMD-LED Refl Orange 718-1800mcd 120° PLC;8,7;100;5,7;500;4,7;2000;4,5;6000;4,3;10000
2097;W2775;LYT67F-U1AA-36;OSRAM SMD-Leuchtdioden klar ultrahell Re;OSRAM SMD Light-Emitting Diodes water-cl;SMD-LED Refl gelb 450-1400mcd 120° PLCC;SMD-LED Refl Yellow 450-1400mcd 120° PLC;8,05;100;5,05;500;4,05;2000;3,85;6000;3,65;10000
2098;W2775;LGT67F-R1T1-24;OSRAM SMD-Leuchtdioden klar ultrahell Re;OSRAM SMD Light-Emitting Diodes water-cl;SMD-LED Refl grün 112-355mcd 120° PLCC;SMD-LED Refl Green 112-355mcd 120° PLCC;12,75;100;9,75;500;8,75;2000;8,4;6000;8,05;10000
2099;V7597;TS50P06G;TSC Brückengleichrichter 50A TS50P_G In-;TSC Bridge Rectifiers 50A TS50P_G In-Lin;Flachbrücke 50A 560V(RMS) 7,5/10mm;Bridge Rect. 50A 560V(RMS) 7,5/10mm;145,45;15;109,1;75;90,93;300;85,31;600;79,75;1200
2100;W2976;LUWCVBP.CE-5L8L;OSRAM SMD-Leuchtdioden diffus/klar weiß;OSRAM SMD Light-Emitting Diodes diffuse/;SMD-LED klar weiß 112-180lm 120° OSLON;SMD-LED Water-clear White 112-180lm 120°;212,56;10;159,36;50;132,76;200;126,8;500;120,73;1000
2101;W2976;LUWCEUN.CE-7K6L;OSRAM SMD-Leuchtdioden diffus/klar weiß;OSRAM SMD Light-Emitting Diodes diffuse/;SMD-LED diffus weiß 90-140lm 120° OSLON;SMD-LED Diffuse White 90-140lm 120° OSLO;184,07;10;138;50;114,97;200;109,8;500;104,54;1000
2102;B1645;IX4426N;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;2xMOSFET-Dr. Inv HS 30V 1,5A SO8;2xMOSFET-Dr. Inv HS 30V 1,5A SO8;0,59;5;0,47;25;0,41;100;0,39;200;0,38;500
2103;B1645;IXDD604SIA;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;2xMOSFET-Dr. HS 35V 4A SO8;2xMOSFET-Dr. HS 35V 4A SO8;1,33;5;1,05;25;0,91;100;0,88;200;0,85;500
2104;B1645;IXDI604SIA;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;2xMOSFET-Dr. Inv HS 35V 4A SO8;2xMOSFET-Dr. Inv HS 35V 4A SO8;1,16;5;0,92;25;0,8;100;0,77;200;0,74;500
2105;B1645;IXDN602SIA;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;2xMOSFET-Dr. HS 35V 2A SO8;2xMOSFET-Dr. HS 35V 2A SO8;0,95;5;0,75;25;0,65;100;0,63;200;0,61;500
2106;B1645;IXDN604PI;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;2xMOSFET-Dr. HS 35V 4A DIP8;2xMOSFET-Dr. HS 35V 4A DIP8;1,33;5;1,05;25;0,91;100;0,88;200;0,85;500
2107;B1645;IXDN614PI;Littelfuse MOSFET-/IGBT-Gate-Driver-ICs;Littelfuse MOSFET/IGBT Gate Driver ICs I;MOSFET-Dr. HS 35V 14A DIP8;MOSFET-Dr. HS 35V 14A DIP8;1,74;5;1,38;25;1,2;100;1,15;200;1,11;500
2108;G5137;HA1455L2202;Hammond Alu-Profilgehäuse,Serie 1455,ABS;Extruded Aluminium Enclosures Series 145;Alu-Profilgeh. 220x103x30,5 klar elox.;Aluminium Encl. 220x103x30,5 CLR anod.;15,86;1;13,41;5;12,2;10;11,64;25;11,08;50
2109;G5137;HA1455L2202BK;Hammond Alu-Profilgehäuse,Serie 1455,ABS;Extruded Aluminium Enclosures Series 145;Alu-Profilgeh. 220x103x30.5 sw elox;Aluminium Encl. 220x103x30.5 BK anod.;17,54;1;14,84;5;13,5;10;12,88;25;12,26;50
2110;G5136;HA1455N1201;Hammond Alu-Profilgehäuse,Serie 1455,Alu;Extruded Alu Enclosures Series 1455, Alu;Alu-Profilgeh. 120x103x53 klar elox.;Aluminium Encl. 120x103x53 CLR anod.;15,37;1;13;5;11,83;10;11,28;25;10,74;50
2111;G5136;HA1455N1201BK;Hammond Alu-Profilgehäuse,Serie 1455,Alu;Extruded Alu Enclosures Series 1455, Alu;Alu-Profilgeh. 120x103x53 sw elox.;Aluminium Encl. 120x103x53 BK anod;17,14;1;14,5;5;13,19;10;12,59;25;11,98;50
2112;G5136;HA1455N1201BU;Hammond Alu-Profilgehäuse,Serie 1455,Alu;Extruded Alu Enclosures Series 1455, Alu;Alu-Profilgeh. 120x103x53 blau elox.;Aluminium Encl. 120x103x53 BU anod.;23,58;1;19,95;5;18,14;10;17,31;25;16,48;50
2113;G5136;HA1455N1201RD;Hammond Alu-Profilgehäuse,Serie 1455,Alu;Extruded Alu Enclosures Series 1455, Alu;Alu-Profilgeh. 120x103x53 rot elox.;Aluminium Encl. 120x103x53 RD anod.;23,58;1;19,95;5;18,14;10;17,31;25;16,48;50
