ZZXP;AGR;ARC;AGRDESC;AGRDESCen;DESC;DESCen;PR1;Q1;PR2;Q2;PR3;Q3;PR4;Q4;PR5;Q5
7067;D9800;12-XXS-4.608000E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 4,608MHz;SMD MEMS Osc 2,5x2,0 4,608MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7068;D9800;12-XXS-4.718592E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 4,718592MHz;SMD MEMS Osc 2,5x2,0 4,718592MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7069;D9800;12-XXS-4.915200E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 4,9152MHz;SMD MEMS Osc 2,5x2,0 4,9152MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7070;D9804;12-XXS-40.680000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 40,68MHz;SMD MEMS Osc 2,5x2,0 40,68MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7071;D9804;12-XXS-40.960000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 40,96MHz;SMD MEMS Osc 2,5x2,0 40,96MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7072;D9804;12-XXS-41.000000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 41MHz;SMD MEMS Osc 2,5x2,0 41MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7073;D9804;12-XXS-41.208000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 41,208MHz;SMD MEMS Osc 2,5x2,0 41,208MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7074;D9804;12-XXS-41.666000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 41,666MHz;SMD MEMS Osc 2,5x2,0 41,666MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7075;D9804;12-XXS-42.000000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 42MHz;SMD MEMS Osc 2,5x2,0 42MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7076;D9804;12-XXS-42.080200E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 42,0802MHz;SMD MEMS Osc 2,5x2,0 42,0802MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7077;D9804;12-XXS-43.700000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 43,7MHz;SMD MEMS Osc 2,5x2,0 43,7MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7078;D9804;12-XXS-44.137900E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 44,1379MHz;SMD MEMS Osc 2,5x2,0 44,1379MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7079;D9804;12-XXS-44.236800E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 44,2368MHz;SMD MEMS Osc 2,5x2,0 44,2368MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7080;D9804;12-XXS-44.545000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 44,545MHz;SMD MEMS Osc 2,5x2,0 44,545MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7081;D9804;12-XXS-44.863400E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 44,8634MHz;SMD MEMS Osc 2,5x2,0 44,8634MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7082;D9804;12-XXS-45.000000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 45MHz;SMD MEMS Osc 2,5x2,0 45MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
